VTV1,VTV2,VTV3,VTV4,VTV6,VTV7,VTV8,VTV9,VTVCab2 - PhimViet,VTVCab7 - D Dramas
04:00 - Thời sự 4h -  ,05:00 - Khỏe thật đơn giản -  ,07:45 - Mỗi ngày một niềm vui -  ,06:00 - Người Việt bốn phương -  ,06:00 - Bảng xếp hạng âm nhạc Hàn Quốc -  ,10:00 - Trường học VTV7 (Mầm non) - Lớp học cầu vồng - Giao thông: Số 4,08:30 - Nhịp sống miền Trung - Đánh thức tiềm năng kinh tế vùng cát,04:30 - Thẩm mỹ văn minh -  ,09:00 - Phim truyện - Tôi yêu cô đơn - Tập 7,10:00 - Phim truyện - Bích huyết thư - Tập 28
04:10 - Khám phá thế giới - Con tàu Trái đất - Tập 2,05:25 - Thức cùng ban mai -  ,07:48 - Thời tiết -  ,06:15 - Điều ước thứ 7 -  ,06:30 - Phim hoạt hình -  ,10:30 - Trường học VTV7 (Trung học) - Stream toán học A - Tập 1:_Số hữu tỷ; Con đường nghề nghiệp: Kỹ sư công nghệ thông tin,08:45 - Cảm ơn cuộc đời - Mẹ Bình - chuyện cổ tích giữa đời thường,04:40 - Bay bổng Phương Nam - Non nước hữu tình,10:00 - Phim truyện - Khúc tương tư - Tập 7,11:00 - Phim truyện - Bóng tối của cám dỗ - Tập 3
"05:10 - Chống buôn lậu, hàng giả - bảo vệ người tiêu dùng -  ",06:00 - Xe và thời đại -  ,08:00 - Truyền hình trực tiếp - Giải xe đạp Quốc tế VTV Cúp Tôn Hoa Sen 2018,07:00 - Cà phê sáng -  ,07:00 - Thể thao -  ,11:00 - Trường teen - Số10,09:00 - Bản tin -  ,05:00 - MV của bạn -  ,11:00 - Phim truyện - Trại cá sấu - Tập 26,12:00 - Phim truyện - Nhật ký kẻ trộm tình - Tập 10
05:25 - S - Việt Nam -  ,06:15 - Sáng kiến - Giải pháp -  ,10:40 - Không gian xanh - Kiến trúc sư Thùy Trang - Chấm phá cùng tân cổ điển,08:00 - Gia đình vui vẻ - Số 3,07:30 - Thể thao -  ,"12:00 - Phim hoạt hình - Chú rô bốt của tôi - Tập 17, 18","09:15 - Tư vấn sức khỏe - Viêm thận, bể thận cấp",05:30 - Chào buổi sáng -  ,12:00 - Phim truyện - Cú hích trên không - Tập 3,13:00 - Phim truyện - Nhật ký kẻ trộm tình - Tập 11
05:30 - Chào buổi sáng -  ,06:45 - Sống khỏe mỗi ngày -  ,11:00 - 100 triệu 1 phút -  ,08:30 - Bizline -  ,08:00 - Truyền hình trực tiếp - Giải đua xe đạp quốc tế VTV Cup Tôn Hoa Sen 2018,12:30 - Thế giới diệu kỳ - Tập 9,10:05 - Tư vấn tiêu dùng -  ,06:00 - Kết nối hàng Việt -  ,13:00 - Phim truyện - Khát vọng xanh - Tập 36,14:00 - Phim truyện - Ác thủ giấu mặt - Tập 1
06:58 - V - Việt Nam -  ,07:10 - Việt Nam - Đất nước - Con người -  ,11:50 - Gia đình vui vẻ -  ,09:00 - Việt Nam và Thế giới -  ,10:30 - Thể thao -  ,12:50 - Stream toán học B - Tập 5,10:10 - Người nông dân hiện đại - Ngày mới ở Krông Búk,06:15 - Sáng Phương Nam - VTV9 -  ,14:00 - Phim truyện - Con gái ông trùm - Tập 28,15:00 - Phim truyện - Đuổi bắt tình yêu - Tập 35
07:00 - Báo chí toàn cảnh -  ,07:30 - Khám phá thế giới - Nhịp sống khỏe- Tập 2,12:10 - Con nhà người ta -  ,09:30 - Phim tài liệu - Những người mẹ đặc biệt,11:00 - Ngôi nhà thế hệ số - Ông bà tôi -  ,"13:00 - Cùng lăn vào bếp - Số 7, 8: Nướng",10:55 - Giờ chơi đến rồi - Ống hút siêu quậy,07:00 - Ca nhạc - Về với cô đơn,15:00 - Phim truyện - Tôi yêu cô đơn - Tập 8,16:00 - Phim truyện - Bức họa vương quyền - Tập 57
07:30 - Chuyện xưa tích cũ -  ,08:00 - Đi đâu ? ăn gì ? - Hà Nội phố (phần 5),13:10 - Đường lên đỉnh Olympia -  ,10:00 - Phim cuối tuần - Cây búa màu ánh bạc,11:30 - Phim tài liệu -  ,13:30 - Học sao cho tốt - Số 1: Tiếng Anh tự tin lên nào,11:10 - VTV kết nối -  ,07:30 - Về đất phương Nam - Làng gốm cổ ven sông,16:00 - Phim truyện - Khúc tương tư - Tập 8,17:00 - Phim truyện - Bóng tối của cám dỗ - Tập 4
08:00 - 90 phút để hiểu -  ,08:30 - Đi tìm đồng đội -  ,14:00 - Phim truyện - Cung đường tội lỗi - Tập 16,11:45 - Tinh hoa nghề Việt -  ,11:55 - Thời tiết -  ,14:15 - Đường đến trường - Kiên quyết,11:15 - Ký sự -  ,07:50 - Tôi người Việt Nam - Người xây tổ ấm,17:00 - Phim truyện - Trại cá sấu - Tập 28,18:00 - Phim truyện - Ánh sao tỏa sáng - Tập 1
09:30 - Toàn cảnh thế giới -  ,09:00 - Cùng bạn chữa bệnh -  ,14:55 - Rubic 8 -  ,12:00 - Bản tin tiêng Việt 12h -  ,12:00 - Bữa trưa vui vẻ -  ,14:30 - Văn vui vẻ - Số 14: Bài thơ về tiểu đội xe không kính,11:30 - Bản tin -  ,08:10 - Ca nhạc -  ,18:00 - Phim truyện - Cú hích trên không - Tập 4,19:00 - Phim truyện - Bích huyết thư - Tập 29
10:00 - Chìa khoá thành công -  ,09:25 - Sống vui -  ,15:10 - Về quê -  ,12:30 - Tường thuật - Chung kết đường lên đỉnh Olympia 2018,13:00 - Thể thao -  ,15:15 - Heo đất - Số 4: Khi bạn có tiền,12:00 - Phim Việt Nam - Tình thù hai mặt - Tập 25,08:40 - Rong ruổi đất phương Nam - Khám phá Ngọa Long Sơn,19:00 - Phim truyện - Khát vọng xanh - Tập 37,20:00 - Phim truyện - Bóng tối của cám dỗ - Tập 5
10:45 - Cặp lá yêu thương -  ,09:30 - 360 độ Nhật Bản -  ,15:20 - Chuẩn cơm mẹ nấu -  ,14:00 - Câu chuyện văn hóa - Phát triển văn hóa du lịch,13:30 - Thứ sáu để yêu -  ,15:30 - Trường học VTV7 (Mầm non) - Lớp học cầu vồng - Giao thông: Số 4,12:50 - Alo8!8!8! -  ,09:00 - Vì nhân dân quên mình -  ,20:00 - Phim truyện - Con gái ông trùm - Tập 29,21:00 - Phim truyện - Bức họa vương quyền - Tập 58
11:30 - Chuyển động 24h -  ,09:50 - Sống khỏe mỗi ngày -  ,16:15 - Vì bạn xứng đáng -  ,14:30 - Tạp chí tiếng Nhật -  ,14:00 - Phim truyện - Ngày mai ánh sáng - Tập 42,16:00 - Phim truyện - Jumping with toeic - Tập 2,13:00 - Phim truyện - Người vợ 100 ngày - Tập 18,09:20 - Sống với thiên nhiên - Cần Thơ - đô thị sinh thái gắn kết du lịch,21:00 - Phim truyện - Tôi yêu cô đơn - Tập 9,22:00 - Phim truyện - Ác thủ giấu mặt - Tập 2
12:00 - Thời sự 12h -  ,10:15 - Cho ngày hoàn hảo -  ,17:08 - Thời tiết -  ,15:00 - Giai điệu cuộc sống - Giai điệu kết nối: Nhà báo Ngô Bá Lục,14:45 - Khám phá Việt Nam - Trận địa pháo cổ trên núi Lớn,16:45 - 10 phút khoa học - Tập 1,13:50 - Sân khấu -  ,09:40 - Bác sỹ của mọi nhà -  ,22:00 - Phim truyện - Khúc tương tư - Tập 9,23:00 - Phim truyện - Ánh sao tỏa sáng - Tập 1
12:30 - Cặp lá yêu thương -  ,11:00 - Năng lượng - Sự chuyển hóa kỳ diệu -  ,17:10 - Đẹp Việt -  ,15:30 - Văn học nghệ thuật - Người thổi hồn vào đất,15:00 - Hôm nay ai đến? -  ,17:00 - Crack'em up - Số 6,15:30 - Khám phá Việt Nam - Mỹ nghệ đá Phụng Châu,10:00 - Chuyện bác Ba Phi - Xưa và nay - Thổi Tù và gọi ba khía,23:00 - Phim truyện - Trại cá sấu - Tập 29,
12:35 - Ấn tượng thể thao 7 ngày -  ,11:15 - Tôi là người đồng hành -  ,"17:20 - Phim truyện - Lọ Lem và 4 chàng kỵ sĩ - Tập 23, 24",16:00 - Tường thuật - Hành trình truyền cảm hứng: Cứ đi và cứ mơ,16:00 - Đồng hành -  ,17:30 - Ú òa - Số 13,15:45 - Tác phẩm mới - Nhớ quê,10:15 - Dân ca nhạc cổ - Những bến bờ yêu.,,
13:00 - Y tế 24h -  ,11:30 - Phim truyện - Chị cả - Tập 78,19:00 - Thời sự -  ,17:30 - Cảm ơn cuộc đời -  ,16:15 - Khi trái bóng lăn -  ,17:45 - Bộ đội vui nhộn - Số 7,16:00 - Bản tin -  ,10:45 - Phóng sự - Khó quản lý người tâm thần,,
13:10 - Phim truyện - Đi tìm tình yêu đích thực - Tập 20,12:15 - Chất lượng cuộc sống -  ,19:55 - V - Việt Nam -  ,17:45 - Từ những miền quê -  ,16:30 - Truyền hình trực tiếp - Giải bóng đá V-League 2018: HAGL - FLC Thanh Hóa,"18:00 - Phim hoạt hình - Chú rô bốt của tôi - Tập 17, 18",16:15 - Chất lượng cuộc sống - Phụ nữ là để yêu thương,11:00 - Bay bổng Phương Nam - Non nước hữu tình,,
14:00 - Tinh hoa nghề Việt -  ,13:00 - Pháp luật và Cuộc sống -  ,20:00 - Học viện mẹ chồng -  ,18:00 - Rubic 8 - Gái ngoan truyền kỳ - Tập 3,18:55 - Thời tiết -  ,18:30 - Văn vui vẻ - Số 14: Bài thơ về tiểu đội xe không kính,17:00 - Phim truyện - Vòng xoáy số phận - Tập 99,11:15 - Mỗi ngày mỗi chuyện -  ,,
14:15 - Câu chuyện văn hóa -  ,13:30 - Thay đổi cuộc sống -  ,21:00 - Bótay.kom -  ,18:15 - Muôn màu showbiz - Số 2,19:00 - Truyền hình trực tiếp - Giải bóng đá V-League 2018: Hà Nội - SLNA,19:15 - Heo đất - Số 4: Khi bạn có tiền,17:50 - Thông tin - Thông báo -  ,11:30 - Tin tức - 11h30 -  ,,
14:45 - Vì cộng đồng -  ,14:00 - Kinh doanh và pháp luật -  ,21:10 - Truyền hình trực tiếp - Siêu mẫu Việt Nam 2018,19:00 - Toàn cảnh thế giới -  ,21:00 - Đồng hành -  ,"19:30 - Cùng lăn vào bếp - Số 9, 10: Kem nitrogen",18:00 - Bản tin -  ,11:50 - Cơm ấm nhà mình -  ,,
15:00 - Văn hoá QĐND - Vũ điệu người lính,14:30 - Khám phá thế giới - Nhịp sống khỏe- Tập 3,23:00 - Quà tặng cuộc sống - Nụ hồng trong thành phố xám,19:30 - Tinh hoa nghề Việt -  ,21:15 - Nhật ký đường đua -  ,20:00 - Lớn lên em muốn làm gì - Tập 1: Nghề bác sĩ,18:40 - Nhìn thẳng -  ,12:00 - Phim truyện - Hạnh phúc nơi cuối con đường - Tập 23,,
15:30 - Doanh nhân và Hội nhập -  ,15:00 - Phóng sự - Đồng Xâm làng của những đôi bàn tay vàng,23:10 - Bí mật của tạo hóa -  ,19:45 - Tác phẩm mới - Đêm trăng rơi,21:30 - Ngôi nhà thế hệ số - Ông bà tôi -  ,20:15 - Ú òa - Số 13,18:50 - 365 Biz -  ,12:55 - Chuyện gia đình vàng -  ,,
15:55 - Biển đảo quê hương -  ,15:15 - Ngôi nhà giới tính -  ,,19:55 - Nhịp đập Việt Nam -  ,21:55 - Thời tiết -  ,20:30 - Bay lên những ước mơ -  ,19:00 - Phim truyện - Lật mặt hung thủ - Tập 17,13:00 - Nơi ta trưởng thành -  ,,
16:00 - Thời sự 16h -  ,15:30 - Khám phá thế giới - Ý tưởng xanh – Tập 4,,20:00 - Tạp chí tiếng Nhật -  ,22:00 - 360° thể thao -  ,21:00 - Follow us - Environment,19:30 - Con đường di sản - Voi trong đời sống đồng bào Tây Nguyên,13:25 - Nhan sắc mới - Khởi đầu mới -  ,,
16:15 - Doanh nghiệp với trách nhiệm xã hội -  ,16:15 - Kiến thức cộng đồng - Khuyến công hỗ trợ chế biến nông sản,,20:30 - Phim tài liệu - Những người mẹ đặc biệt,22:30 - Chúng ta là một gia đình -  ,21:15 - Học tiếng Anh qua bài hát - Love yourself,19:45 - Ký sự -  ,13:50 - Gặp nhau để cười -  ,,
16:30 - Hộp thư truyền hình -  ,16:43 - Thông báo - Ghi ơn -  ,,21:00 - Bản tin tiêng Việt 21h -  ,23:00 - Thể thao -  ,22:30 - Đường đến trường - Kiên quyết,20:00 - Món ngon mỗi ngày -  ,14:00 - Quẳng gánh lo đi - Sống lạc quan từ những điều đơn giản,,
17:00 - Thế giới kết nối -  ,16:45 - Góc nhìn môi trường -  ,,21:20 - Sức sống thể thao -  ,,22:45 - Đổi mới sáng tạo - Số 4: Đưa văn hóa dân tộc vào học sinh dân tộc thiểu số,20:05 - Phim truyện - Mặt nạ anh hùng - Phần 2 - Tập 39,14:20 - Mùa vàng bội thu - Nhân lúa giống ở nông hộ,,
17:10 - Khám phá Việt Nam - Hậu tổ nghệ thuật hát bội Việt Nam,17:00 - Người nông dân hiện đại - An sinh phố núi,,21:25 - Thời tiết du lịch -  ,,23:00 - Edu talk - Số 13: Chân dung hiệu trưởng trong thời đại mới,20:55 - Phim Sitcom -  ,14:40 - Góc nhìn đa chiều -  ,,
17:20 - Chuyện đô thị -  ,17:45 - Sống khỏe mỗi ngày -  ,,21:30 - Talk Vietnam -  ,,23:45 - Giai điệu cuộc sống -  ,21:10 - Góc khuất hôn nhân - Số 6,15:30 - Phong cách trẻ -  ,,
17:35 - Hành trình truyền cảm hứng -  ,18:30 - Chuyển động 24 giờ -  ,,22:10 - Nhịp đập Việt Nam - Đảo chè Thanh Chương,,,21:45 - Chuyện làng - Bệnh thối bẹ cây lúa,16:00 - Bản tin -  ,,
17:45 - Cuộc sống thường ngày -  ,19:00 - Phim truyện - Tráng sĩ xuất quân - Tập 5,,22:15 - Điều ước thứ 7 -  ,,,22:00 - Ký sự - Những dòng họ khoa bảng,16:10 - Phim truyện - Năm ấy hoa nở trăng vừa tròn - Tập 58,,
18:20 - Nông nghiệp sạch -  ,19:50 - Phim truyện - Tây du ký - Tập 53,,23:00 - Việt Nam và Thế giới -  ,,,22:15 - Khỏe Vui - Sổ giun,17:00 - Món ngon Phương Nam - Các món ăn dân dã từ dừa,,
18:30 - Chuyển động 24h -  ,20:20 - Sống vui -  ,,23:30 - Thế giới tuổi thơ - Ca nhạc thiếu nhi: Ngày đầu tiên đi học,,,22:30 - Tin cuối ngày -  ,17:20 - Canh tác thông minh -  ,,
19:00 - Thời sự 19h -  ,20:35 - Câu chuyện sở hữu trí tuệ -  ,,,,,22:35 - Thư về miền Trung -  ,17:45 - Nghe cầu vồng nói -  ,,
19:40 - Thể thao 24/7 -  ,20:45 - Vào bếp khó gì -  ,,,,,23:15 - Khám phá Việt Nam - Tranh cắt vải,18:00 - Tin tức - Thời tiết -  ,,
19:55 - Điểm tin -  ,21:00 - Đẹp 24/7 -  ,,,,,23:30 - Khám phá thế giới - Sống cùng sư tử - Tập 5: Hành vi của sử tử,18:45 - Biệt đội tất tần tật -  ,,
20:00 - S - Việt Nam -  ,21:05 - Phụ nữ là để yêu thương -  ,,,,,,19:00 - Tiêu dùng thông minh -  ,,
20:05 - Vì tầm vóc Việt -  ,21:30 - Những mảnh ghép của cuộc sống -  ,,,,,,19:05 - Siêu mẫu nhí -  ,,
20:10 - Truyền hình Quân đội -  ,22:00 - Bản tin 22h00 -  ,,,,,,19:25 - Xả Xì Trét -  ,,
20:35 - Thời tiết này đi đâu -  ,22:40 - Khoa học và thực tiễn -  ,,,,,,19:50 - Thẩm mỹ văn minh -  ,,
"20:40 - Giao lưu điển hình tiêu biểu về học tập và làm theo tư tưởng, đạo đức, phong cách Hồ Chí Minh -  ",23:00 - Khám phá thế giới - Ý tưởng xanh – Tập 2,,,,,,20:05 - Hoa hậu Việt Nam 2018 -  ,,
21:40 - Gương sáng quanh ta -  ,23:45 - Phóng sự - Những cánh chim không mỏi,,,,,,20:50 - Đấu trường ẩm thực -  ,,
22:00 - Chuyện xưa tích cũ -  ,,,,,,,21:10 - Sài Gòn đêm thứ Bảy - Dĩ vãng nhạt nhòa,,
22:30 - Studio 3 -  ,,,,,,,22:05 - Hương tình yêu -  ,,
22:45 - Cảm ơn cuộc đời -  ,,,,,,,22:15 - Luôn có cách để yêu thương - Tạo sân chơi tốt cho con trẻ,,
23:00 - Dân ca nhạc cổ -  ,,,,,,,22:50 - Bay bổng Phương Nam - Non nước hữu tình,,
23:30 - Thế giới 24h chuyển động -  ,,,,,,,23:05 - Nhan sắc mới - Khởi đầu mới -  ,,
23:50 - Tinh hoa nghề Việt -  ,,,,,,,23:30 - Ca nhạc -  ,,
